,Unnamed: 0,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,handle,date_time,date,date_week,clean_tweet
254,130,Fri Aug 16 22:02:07 +0000 2019,683,I spoke with @POTUS Trump today. Read about our call here: https://t.co/ql9CDAlhCK,[],1162484708661440512,1162484708661440512,en,,,,,163,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/readouts/2019/08/16/prime-minister-justin-trudeau-speaks-president-united-states-america', 'url': 'https://t.co/ql9CDAlhCK'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 822215679726100480, 'id_str': '822215679726100480', 'name': 'President Trump', 'screen_name': 'POTUS'}]",@JustinTrudeau,2019-08-16 22:02:07+00:00,2019-08-16,2019-08-12,spoke potu trump today read call http t.co/ql9cdalhck
256,132,Fri Aug 16 20:20:13 +0000 2019,478,"Stopped in Elmsdale today to catch up with Kody Blois, a hardworking community leader who’s been focused on helping people – especially young people – in his home riding of Kings–Hants. Thanks to Kody and the folks at @TheCupofSoul for the great conversations. https://t.co/Qx1IMc1ill",[],1162459066746187778,1162459066746187778,en,"[{'display_url': 'pic.twitter.com/Qx1IMc1ill', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162459066746187778/photo/1', 'id': 1162459052766564361, 'media_url': 'http://pbs.twimg.com/media/ECHiWXoWkAkgwk6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECHiWXoWkAkgwk6.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/Qx1IMc1ill'}]",,,,68,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 601377401, 'id_str': '601377401', 'name': 'The Cup of Soul Cafe', 'screen_name': 'TheCupofSoul'}]",@JustinTrudeau,2019-08-16 20:20:13+00:00,2019-08-16,2019-08-12,stop elmsdale today catch kody bloi hardworking community leader ’ focus help person – especially young person – hi home riding kings–hant thank kody folk thecupofsoul great conversation http t.co/qx1imc1ill
258,134,Fri Aug 16 19:47:18 +0000 2019,2393,"Our government introduced the First-Time Home Buyer Incentive to help with your down payment, lower your monthly mortgage &amp; make it more affordable to buy a home. That’s great news for Canadians like Ryan &amp; Victoria, who are looking to buy a place where little Hayden can grow up. https://t.co/UgrzKjWyWG",[],1162450784241508358,1162450784241508358,en,"[{'display_url': 'pic.twitter.com/UgrzKjWyWG', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162450784241508358/photo/1', 'id': 1162450764914221056, 'media_url': 'http://pbs.twimg.com/media/ECHaz8-X4AA8lTw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECHaz8-X4AA8lTw.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/UgrzKjWyWG'}, {'display_url': 'pic.twitter.com/UgrzKjWyWG', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162450784241508358/photo/1', 'id': 1162450764893175809, 'media_url': 'http://pbs.twimg.com/media/ECHaz85WwAELgwI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECHaz85WwAELgwI.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/UgrzKjWyWG'}]",,,,359,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-16 19:47:18+00:00,2019-08-16,2019-08-12,government introduce first-time home buyer incentive help ymy payment low ymy monthly mortgage amp make affordable buy home ’ great news canadian like ryan amp victorium look buy place little hayden grow http t.co/ugrzkjwywg
260,0,Fri Aug 16 16:25:18 +0000 2019,1101,"Organizations like @Techsploration in Nova Scotia are doing great work to support young women in science, the trades, and tech. We had a good discussion at @NSCCNews in Dartmouth today about how we can work together to keep opening doors for young women in these fields. https://t.co/GfaSQJDahf",[],1162399948119445504,1162399948119445504,en,"[{'display_url': 'pic.twitter.com/GfaSQJDahf', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162399948119445504/photo/1', 'id': 1162399939395313664, 'media_url': 'http://pbs.twimg.com/media/ECGslhKX4AAlM3Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECGslhKX4AAlM3Z.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/GfaSQJDahf'}]",,,,162,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 320868246, 'id_str': '320868246', 'name': 'Techsploration', 'screen_name': 'Techsploration'}, {'id': 87498563, 'id_str': '87498563', 'name': 'NSCC News', 'screen_name': 'NSCCNews'}]",@JustinTrudeau,2019-08-16 16:25:18+00:00,2019-08-16,2019-08-12,organization like techsploration nova scotium great work support young woman science trade tech good discussion nsccnews dartmouth today work together keep open door young woman field http t.co/gfasqjdahf
262,2,Fri Aug 16 02:02:16 +0000 2019,2701,"Couldn’t leave New Brunswick without catching up with @DLeBlancNB. Good to see you, my friend (I think you were telling me a joke in this pic). https://t.co/PBv6kN4Jhj",[],1162182759143673857,1162182759143673857,en,"[{'display_url': 'pic.twitter.com/PBv6kN4Jhj', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162182759143673857/photo/1', 'id': 1162182734305013767, 'media_url': 'http://pbs.twimg.com/media/ECDnChJXsAcBHwY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECDnChJXsAcBHwY.jpg', 'sizes': {'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/PBv6kN4Jhj'}]",,,,225,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 720579941184757760, 'id_str': '720579941184757760', 'name': 'Dominic LeBlanc', 'screen_name': 'DLeBlancNB'}]",@JustinTrudeau,2019-08-16 02:02:16+00:00,2019-08-16,2019-08-12,’ leave new brunswick without catch dleblancnb good see friend think tell joke thi pic http t.co/pbv6kn4jhj
264,4,Fri Aug 16 01:33:20 +0000 2019,1423,"Friends, music, food, and Le Grand Tintamarre – that’s how you celebrate National Acadian Day. We had a blast in Dieppe today! https://t.co/NVVqDPzmqT",[],1162175476779159552,1162175476779159552,en,"[{'display_url': 'pic.twitter.com/NVVqDPzmqT', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162175476779159552/video/1', 'id': 1162158951384961024, 'media_url': 'http://pbs.twimg.com/media/ECDSR2LW4AELsxf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECDSR2LW4AELsxf.jpg', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/NVVqDPzmqT', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 88250, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1162158951384961024/pl/Rd-fUbOruc7f9D25.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1162158951384961024/vid/1280x720/ZyXYrcl22TWu6vMT.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1162158951384961024/vid/640x360/4KB4VG71LLGbbf22.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1162158951384961024/vid/480x270/X1Rg1P1wxrbLUmfr.mp4?tag=13'}]}}]",,,,215,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-16 01:33:20+00:00,2019-08-16,2019-08-12,friend music food le grand tintamarre – ’ celebrate national acadian day blast dieppe today http t.co/nvvqdpzmqt
266,6,Fri Aug 16 00:12:53 +0000 2019,1047,Acadians sure know how to throw a party and make some noise – and they have a lot to celebrate at the 25th Congrès mondial acadien. #CMA2019 https://t.co/5nHJ5sYA5H,[{'text': 'CMA2019'}],1162155229523140613,1162155229523140613,en,"[{'display_url': 'pic.twitter.com/5nHJ5sYA5H', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162155229523140613/photo/1', 'id': 1162155200012083202, 'media_url': 'http://pbs.twimg.com/media/ECDN_z6X4AIwUGB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECDN_z6X4AIwUGB.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/5nHJ5sYA5H'}, {'display_url': 'pic.twitter.com/5nHJ5sYA5H', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162155229523140613/photo/1', 'id': 1162155200007872513, 'media_url': 'http://pbs.twimg.com/media/ECDN_z5XoAEmAAh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECDN_z5XoAEmAAh.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/5nHJ5sYA5H'}, {'display_url': 'pic.twitter.com/5nHJ5sYA5H', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162155229523140613/photo/1', 'id': 1162155200049831938, 'media_url': 'http://pbs.twimg.com/media/ECDN_0DX4AIzTA3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECDN_0DX4AIzTA3.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/5nHJ5sYA5H'}]",,,,130,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-16 00:12:53+00:00,2019-08-16,2019-08-12,acadian sure know throw party make noise – lot celebrate 25th congrè mondial acadien cma2019 http t.co/5nhj5sya5h
268,8,Thu Aug 15 21:57:20 +0000 2019,1214,"Acadians across the Maritimes – and around the world – are celebrating their beautiful language, music and culture today. Had a great time joining in with folks in Rogersville, NB. Vive l’Acadie! https://t.co/XTIM5PyGnR",[],1162121117122908160,1162121117122908160,en,"[{'display_url': 'pic.twitter.com/XTIM5PyGnR', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162121117122908160/photo/1', 'id': 1162121105773092867, 'media_url': 'http://pbs.twimg.com/media/ECCu_Q-W4AM8m9P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECCu_Q-W4AM8m9P.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/XTIM5PyGnR'}, {'display_url': 'pic.twitter.com/XTIM5PyGnR', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162121117122908160/photo/1', 'id': 1162121105781469186, 'media_url': 'http://pbs.twimg.com/media/ECCu_RAWsAIdsEK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECCu_RAWsAIdsEK.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/XTIM5PyGnR'}]",,,,170,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-15 21:57:20+00:00,2019-08-15,2019-08-12,acadian acros maritime – around world – celebrate beautiful language music culture today great time join folk rogersville nb vive l ’ acadie http t.co/xtim5pygnr
270,10,Thu Aug 15 18:38:56 +0000 2019,1263,"Lunch time at Parker’s Country Diner in Doaktown, NB: good conversations, great people, and even a few high fives! https://t.co/tUPUGnmyXP",[],1162071190120337410,1162071190120337410,en,"[{'display_url': 'pic.twitter.com/tUPUGnmyXP', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162071190120337410/photo/1', 'id': 1162071173989056512, 'media_url': 'http://pbs.twimg.com/media/ECCBk2lWwAACqsp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECCBk2lWwAACqsp.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/tUPUGnmyXP'}, {'display_url': 'pic.twitter.com/tUPUGnmyXP', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162071190120337410/photo/1', 'id': 1162071173976461312, 'media_url': 'http://pbs.twimg.com/media/ECCBk2iWkAABmaE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECCBk2iWkAABmaE.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/tUPUGnmyXP'}, {'display_url': 'pic.twitter.com/tUPUGnmyXP', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162071190120337410/photo/1', 'id': 1162071174010064896, 'media_url': 'http://pbs.twimg.com/media/ECCBk2qXUAA3Tgn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECCBk2qXUAA3Tgn.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/tUPUGnmyXP'}]",,,,143,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-15 18:38:56+00:00,2019-08-15,2019-08-12,lunch time parker ’ country diner doaktown nb good conversation great person even high fife http t.co/tupugnmyxp
272,12,Thu Aug 15 16:41:20 +0000 2019,843,"With 3 major floods over the past 11 years, people in Fredericton and the surrounding area have faced the impacts &amp; costs of the climate crisis first hand. Today we're stepping up with new funding to protect this community from future flooding. Read more: https://t.co/jlJSPk2TwM https://t.co/00k3Dwetaa",[],1162041596663255040,1162041596663255040,en,"[{'display_url': 'pic.twitter.com/00k3Dwetaa', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162041596663255040/photo/1', 'id': 1162041583186956288, 'media_url': 'http://pbs.twimg.com/media/ECBmqcQXUAAPK0u.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECBmqcQXUAAPK0u.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1639, 'resize': 'fit'}, 'small': {'w': 680, 'h': 544, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 960, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/00k3Dwetaa'}, {'display_url': 'pic.twitter.com/00k3Dwetaa', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162041596663255040/photo/1', 'id': 1162041583207931904, 'media_url': 'http://pbs.twimg.com/media/ECBmqcVXYAAYt8p.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECBmqcVXYAAYt8p.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/00k3Dwetaa'}, {'display_url': 'pic.twitter.com/00k3Dwetaa', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1162041596663255040/photo/1', 'id': 1162041583203770369, 'media_url': 'http://pbs.twimg.com/media/ECBmqcUX4AEssD-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ECBmqcUX4AEssD-.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/00k3Dwetaa'}]",,,,133,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://bit.ly/2Z2DiOl', 'url': 'https://t.co/jlJSPk2TwM'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-15 16:41:20+00:00,2019-08-15,2019-08-12,3 major flood past 11 year person fredericton surround area face impact amp cost climate crisi first hand today 're step new funding protect thi community future flood read http t.co/jljspk2twm http t.co/00k3dwetaa
274,14,Thu Aug 15 15:48:21 +0000 2019,758,"In the face of many hardships over the centuries, Acadians have shown incredible courage and resilience, and over time they’ve built strong communities rooted in their history &amp; traditions. Watch @HistoricaCanada’s new #HeritageMinute about the Acadian Deportation: https://t.co/PsatHWY8Hv",[{'text': 'HeritageMinute'}],1162028259636367362,1162028259636367362,en,,"{'created_at': 'Thu Aug 15 10:00:00 +0000 2019', 'favorite_count': 631, 'full_text': 'WATCH: A brand new #HeritageMinute tells the story of the Acadian Deportation. Stripped of their possessions and forced from their homes after 150 years of peaceful existence, more than 10,000 Acadians were expelled from the Maritimes. #NationalAcadianDay https://t.co/u56dKmIqLx', 'hashtags': [{'text': 'HeritageMinute'}, {'text': 'NationalAcadianDay'}], 'id': 1161940596736454656, 'id_str': '1161940596736454656', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/u56dKmIqLx', 'expanded_url': 'https://twitter.com/HistoricaCanada/status/1161940596736454656/video/1', 'id': 1159568358221766657, 'media_url': 'http://pbs.twimg.com/media/EBegfEWXsAI_bLu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EBegfEWXsAI_bLu.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/u56dKmIqLx', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 60185, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1159568358221766657/vid/480x270/jfOuulfZwEZKKn4M.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1159568358221766657/vid/1280x720/gpsKennj2l4069Vp.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1159568358221766657/pl/oAWOXvjTJJNpf8uI.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1159568358221766657/vid/640x360/7Wz-8LebuD9KDykp.mp4?tag=13'}]}}], 'retweet_count': 444, 'source': '<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>', 'urls': [], 'user': {'id': 16808453, 'id_str': '16808453'}, 'user_mentions': []}",1.161940596736455e+18,1.1619405967364547e+18,192,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/HistoricaCanada/status/1161940596736454656', 'url': 'https://t.co/PsatHWY8Hv'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 16808453, 'id_str': '16808453', 'name': 'Historica Canada', 'screen_name': 'HistoricaCanada'}]",@JustinTrudeau,2019-08-15 15:48:21+00:00,2019-08-15,2019-08-12,face many hardship century acadian show incredible courage resilience time ’ build strong community root history amp tradition watch historicacanada ’ new heritageminute acadian deportation http t.co/psathwy8hv
276,16,Thu Aug 15 14:04:38 +0000 2019,684,"On Liberation Day, Koreans around the world celebrate South Korea’s independence and its many accomplishments over the past decades. Sending my best wishes to everyone marking this 74th National Liberation Day. https://t.co/AhFToKdnid",[],1162002157744349185,1162002157744349185,en,,,,,111,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/statements/2019/08/15/statement-prime-minister-national-liberation-day-korea', 'url': 'https://t.co/AhFToKdnid'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-15 14:04:38+00:00,2019-08-15,2019-08-12,liberation day korean around world celebrate south korea ’ independence many accomplishment past decade send best wish everyone mark 74th national liberation day http t.co/ahftokdnid
278,18,Thu Aug 15 13:02:59 +0000 2019,7074,"Today, we join the people of India and the Indo-Canadian community to celebrate India’s 73rd Independence Day: https://t.co/KOgOuXhHME",[],1161986645706625024,1161986645706625024,en,,,,,1184,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/statements/2019/08/15/statement-prime-minister-indias-independence-day', 'url': 'https://t.co/KOgOuXhHME'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-15 13:02:59+00:00,2019-08-15,2019-08-12,today join person indium indo-canadian community celebrate indium ’ 73rd independence day http t.co/kogouxhhme
280,20,Thu Aug 15 12:04:46 +0000 2019,1721,"Happy National Acadian Day! Acadians are an integral part of our Canadian identity, and today we celebrate their unique history, proud cultural heritage, and rich traditions. https://t.co/cnsPXEI31O",[],1161971995736727554,1161971995736727554,en,,,,,304,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/statements/2019/08/15/statement-prime-minister-canada-national-acadian-day', 'url': 'https://t.co/cnsPXEI31O'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-08-15 12:04:46+00:00,2019-08-15,2019-08-12,happy national acadian day acadian integral part canadian identity today celebrate unique history proud cultural heritage rich tradition http t.co/cnspxei31o
282,22,Wed Aug 14 23:56:10 +0000 2019,1648,"Always great to be back in the Niagara region. @votekaiser and I started the day this morning with some good conversations about what matters most to people here, like the roads, buses, and community centres people in Niagara – and all across Canada – rely on every day. https://t.co/F8qteUyEWr",[],1161788638004428800,1161788638004428800,en,"[{'display_url': 'pic.twitter.com/F8qteUyEWr', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1161788638004428800/photo/1', 'id': 1161788603984490502, 'media_url': 'http://pbs.twimg.com/media/EB-AlHSXsAYy2__.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EB-AlHSXsAYy2__.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/F8qteUyEWr'}, {'display_url': 'pic.twitter.com/F8qteUyEWr', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1161788638004428800/photo/1', 'id': 1161788603992854534, 'media_url': 'http://pbs.twimg.com/media/EB-AlHUXUAY3gSt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EB-AlHUXUAY3gSt.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/F8qteUyEWr'}, {'display_url': 'pic.twitter.com/F8qteUyEWr', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1161788638004428800/photo/1', 'id': 1161788603997085696, 'media_url': 'http://pbs.twimg.com/media/EB-AlHVX4AAMFcY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EB-AlHVX4AAMFcY.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/F8qteUyEWr'}]",,,,184,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 1143869690818760705, 'id_str': '1143869690818760705', 'name': 'Andrea Kaiser', 'screen_name': 'votekaiser'}]",@JustinTrudeau,2019-08-14 23:56:10+00:00,2019-08-14,2019-08-12,alway great back niagara region votekaiser start day thi morning good conversation matter person like road bus community centre person niagara – acros canada – rely every day http t.co/f8qteuyewr
