word,count,handle,total_count,rank
want,21,MaximeBernier,64,37.0
want,16,theJagmeetSingh,64,37.0
want,14,JustinTrudeau,64,37.0
want,9,AndrewScheer,64,37.0
want,4,ElizabethMay,64,37.0
going,27,JustinTrudeau,64,38.0
going,26,theJagmeetSingh,64,38.0
going,7,AndrewScheer,64,38.0
going,3,ElizabethMay,64,38.0
going,1,MaximeBernier,64,38.0
years,25,MaximeBernier,63,39.0
years,21,JustinTrudeau,63,39.0
years,11,theJagmeetSingh,63,39.0
years,4,ElizabethMay,63,39.0
years,2,AndrewScheer,63,39.0
justintrudeau,55,JustinTrudeau,63,40.0
justintrudeau,3,MaximeBernier,63,40.0
justintrudeau,3,ElizabethMay,63,40.0
justintrudeau,2,theJagmeetSingh,63,40.0
kids,36,JustinTrudeau,62,42.0
kids,13,AndrewScheer,62,42.0
kids,7,theJagmeetSingh,62,42.0
kids,5,ElizabethMay,62,42.0
kids,1,MaximeBernier,62,42.0
first,22,JustinTrudeau,62,41.0
first,17,theJagmeetSingh,62,41.0
first,8,MaximeBernier,62,41.0
first,8,ElizabethMay,62,41.0
first,7,AndrewScheer,62,41.0
know,14,ElizabethMay,61,43.0
know,13,JustinTrudeau,61,43.0
know,12,MaximeBernier,61,43.0
know,12,AndrewScheer,61,43.0
know,10,theJagmeetSingh,61,43.0
back,22,AndrewScheer,57,44.0
back,17,JustinTrudeau,57,44.0
back,8,MaximeBernier,57,44.0
back,6,theJagmeetSingh,57,44.0
back,4,ElizabethMay,57,44.0
put,38,AndrewScheer,56,45.0
put,6,JustinTrudeau,56,45.0
put,5,theJagmeetSingh,56,45.0
put,4,ElizabethMay,56,45.0
put,3,MaximeBernier,56,45.0
home,31,AndrewScheer,56,46.0
home,14,JustinTrudeau,56,46.0
home,6,ElizabethMay,56,46.0
home,3,MaximeBernier,56,46.0
home,2,theJagmeetSingh,56,46.0
thank,22,theJagmeetSingh,54,49.0
thank,13,ElizabethMay,54,49.0
thank,9,MaximeBernier,54,49.0
thank,7,JustinTrudeau,54,49.0
thank,3,AndrewScheer,54,49.0
party,32,MaximeBernier,54,48.0
party,16,ElizabethMay,54,48.0
party,3,AndrewScheer,54,48.0
party,2,theJagmeetSingh,54,48.0
party,1,JustinTrudeau,54,48.0
fight,27,JustinTrudeau,54,50.0
fight,14,theJagmeetSingh,54,50.0
fight,9,MaximeBernier,54,50.0
fight,2,ElizabethMay,54,50.0
fight,2,AndrewScheer,54,50.0
dont,18,MaximeBernier,54,47.0
dont,18,theJagmeetSingh,54,47.0
dont,8,JustinTrudeau,54,47.0
dont,6,AndrewScheer,54,47.0
dont,4,ElizabethMay,54,47.0
cut,27,AndrewScheer,53,51.0
cut,18,JustinTrudeau,53,51.0
cut,5,MaximeBernier,53,51.0
cut,3,ElizabethMay,53,51.0
pockets,51,AndrewScheer,52,54.0
pockets,1,MaximeBernier,52,54.0
life,18,theJagmeetSingh,52,52.0
life,14,JustinTrudeau,52,52.0
life,11,AndrewScheer,52,52.0
life,6,MaximeBernier,52,52.0
life,3,ElizabethMay,52,52.0
election,15,theJagmeetSingh,52,53.0
election,13,JustinTrudeau,52,53.0
election,9,ElizabethMay,52,53.0
election,8,AndrewScheer,52,53.0
election,7,MaximeBernier,52,53.0
change,30,JustinTrudeau,52,55.0
change,14,MaximeBernier,52,55.0
change,6,theJagmeetSingh,52,55.0
change,2,ElizabethMay,52,55.0
justin,40,AndrewScheer,51,56.0
justin,9,theJagmeetSingh,51,56.0
justin,2,ElizabethMay,51,56.0
support,15,AndrewScheer,50,57.0
support,15,JustinTrudeau,50,57.0
support,10,MaximeBernier,50,57.0
support,8,ElizabethMay,50,57.0
support,2,theJagmeetSingh,50,57.0
families,26,JustinTrudeau,50,58.0
families,13,theJagmeetSingh,50,58.0
families,10,AndrewScheer,50,58.0
families,1,MaximeBernier,50,58.0
work,14,theJagmeetSingh,49,59.0
work,14,ElizabethMay,49,59.0
work,11,JustinTrudeau,49,59.0
work,6,AndrewScheer,49,59.0
work,4,MaximeBernier,49,59.0
last,15,AndrewScheer,49,60.0
last,14,JustinTrudeau,49,60.0
last,9,ElizabethMay,49,60.0
last,6,MaximeBernier,49,60.0
last,5,theJagmeetSingh,49,60.0
canadian,16,JustinTrudeau,48,61.0
canadian,15,AndrewScheer,48,61.0
canadian,12,MaximeBernier,48,61.0
canadian,4,ElizabethMay,48,61.0
canadian,1,theJagmeetSingh,48,61.0
thanks,18,ElizabethMay,47,62.0
thanks,13,AndrewScheer,47,62.0
thanks,11,JustinTrudeau,47,62.0
thanks,3,MaximeBernier,47,62.0
thanks,2,theJagmeetSingh,47,62.0
liberal,30,JustinTrudeau,47,63.0
liberal,6,ElizabethMay,47,63.0
liberal,5,theJagmeetSingh,47,63.0
liberal,4,MaximeBernier,47,63.0
liberal,2,AndrewScheer,47,63.0
choice,22,JustinTrudeau,47,64.0
choice,10,MaximeBernier,47,64.0
choice,8,AndrewScheer,47,64.0
choice,4,theJagmeetSingh,47,64.0
choice,3,ElizabethMay,47,64.0
lets,27,JustinTrudeau,46,68.0
lets,11,theJagmeetSingh,46,68.0
lets,5,MaximeBernier,46,68.0
lets,3,AndrewScheer,46,68.0
everyone,18,JustinTrudeau,46,65.0
everyone,14,AndrewScheer,46,65.0
everyone,9,MaximeBernier,46,65.0
everyone,3,theJagmeetSingh,46,65.0
everyone,2,ElizabethMay,46,65.0
conservatives,21,JustinTrudeau,46,67.0
conservatives,19,AndrewScheer,46,67.0
conservatives,3,MaximeBernier,46,67.0
conservatives,2,ElizabethMay,46,67.0
conservatives,1,theJagmeetSingh,46,67.0
across,20,AndrewScheer,46,66.0
across,13,theJagmeetSingh,46,66.0
across,10,JustinTrudeau,46,66.0
across,3,ElizabethMay,46,66.0
scheer,22,MaximeBernier,45,69.0
scheer,18,JustinTrudeau,45,69.0
scheer,3,ElizabethMay,45,69.0
scheer,2,theJagmeetSingh,45,69.0
family,22,JustinTrudeau,45,70.0
family,15,AndrewScheer,45,70.0
family,4,ElizabethMay,45,70.0
family,3,theJagmeetSingh,45,70.0
family,1,MaximeBernier,45,70.0
platform,20,ElizabethMay,44,71.0
platform,11,JustinTrudeau,44,71.0
platform,6,MaximeBernier,44,71.0
platform,4,AndrewScheer,44,71.0
platform,3,theJagmeetSingh,44,71.0
night,17,AndrewScheer,43,72.0
night,8,ElizabethMay,43,72.0
night,7,theJagmeetSingh,43,72.0
night,6,JustinTrudeau,43,72.0
night,5,MaximeBernier,43,72.0
future,29,JustinTrudeau,43,74.0
future,9,theJagmeetSingh,43,74.0
future,2,ElizabethMay,43,74.0
future,2,AndrewScheer,43,74.0
future,1,MaximeBernier,43,74.0
every,16,JustinTrudeau,43,73.0
every,11,MaximeBernier,43,73.0
every,8,AndrewScheer,43,73.0
every,6,theJagmeetSingh,43,73.0
every,2,ElizabethMay,43,73.0
ppc,42,MaximeBernier,42,75.0
