,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,handle
20,Thu Sep 05 23:20:39 +0000 2019,1964,"Thanks for having me today, @TorontoStar. And thanks to Mark and everyone else who submitted a question. Looking forward to having many more conversations with Canadians across the country in the coming weeks! https://t.co/bQFm0T0iRx",[],1169752232566382592,1169752232566382592,en,,"{'created_at': 'Thu Sep 05 16:27:07 +0000 2019', 'favorite_count': 157, 'full_text': '""I agree that too many seniors are struggling, and we need to do more,"" Prime Minister @JustinTrudeau responds to Star reader Mark Newman\'s question. \n\nFollow #LIVE here: https://t.co/kuDwTZMSa8 https://t.co/z8QtzX9Lzu', 'hashtags': [{'text': 'LIVE'}], 'id': 1169648161771720711, 'id_str': '1169648161771720711', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/z8QtzX9Lzu', 'expanded_url': 'https://twitter.com/TorontoStar/status/1169648161771720711/photo/1', 'id': 1169648155207634944, 'media_url': 'http://pbs.twimg.com/media/EDtszNNXkAAdkdb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDtszNNXkAAdkdb.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/z8QtzX9Lzu'}], 'retweet_count': 39, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'urls': [{'expanded_url': 'https://www.thestar.com/politics/federal/2019/09/05/justin-trudeau-prime-minister-liberal-party-middle-class-chat.html', 'url': 'https://t.co/kuDwTZMSa8'}], 'user': {'id': 12848262, 'id_str': '12848262'}, 'user_mentions': [{'id': 14260960, 'id_str': '14260960', 'name': 'Justin Trudeau', 'screen_name': 'JustinTrudeau'}]}",1.1696481617717207e+18,1169648161771720711,272.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/torontostar/status/1169648161771720711', 'url': 'https://t.co/bQFm0T0iRx'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 12848262, 'id_str': '12848262', 'name': 'TorontoStar', 'screen_name': 'TorontoStar'}]",@JustinTrudeau
22,Thu Sep 05 21:45:55 +0000 2019,723,"30 years young! Happy birthday, @BTtoronto – you’re not just a morning show, you’re a part of people’s daily lives… helping folks start their mornings &amp; making their days a little brighter. Congrats to the entire team on this milestone. #BT30 https://t.co/fcdGrhG8Lw",[{'text': 'BT30'}],1169728391559487490,1169728391559487490,en,"[{'display_url': 'pic.twitter.com/fcdGrhG8Lw', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169728391559487490/photo/1', 'id': 1169728387839070208, 'media_url': 'http://pbs.twimg.com/media/EDu1xXDWkAA9vuA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDu1xXDWkAA9vuA.jpg', 'sizes': {'large': {'w': 2048, 'h': 1364, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/fcdGrhG8Lw'}]",,,,71.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 22930902, 'id_str': '22930902', 'name': 'Breakfast Television Toronto', 'screen_name': 'BTtoronto'}]",@JustinTrudeau
24,Thu Sep 05 16:32:23 +0000 2019,513,"Brenda Murphy has dedicated her life to serving the public, advancing gender equality, and ending poverty. I know she’ll keep making important contributions to her province &amp; country, and serve New Brunswickers well as their Lieutenant Governor. https://t.co/LYOislDU7m",[],1169649486169280513,1169649486169280513,en,,,,,83.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/news-releases/2019/09/05/prime-minister-announces-new-lieutenant-governor-new-brunswick', 'url': 'https://t.co/LYOislDU7m'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
26,Wed Sep 04 22:22:58 +0000 2019,625,"The Chair of @CARICOMorg, PM Allen Chastanet, and I spoke today about our support for the Bahamas following Hurricane Dorian. We also discussed how Canada can work with our Caribbean partners to build resilience to climate-related events.",[],1169375327619035136,1169375327619035136,en,,,,,120.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 2690862564, 'id_str': '2690862564', 'name': 'Caribbean Community (CARICOM)', 'screen_name': 'CARICOMorg'}]",@JustinTrudeau
28,Wed Sep 04 21:57:38 +0000 2019,984,"On the menu at Casero Kitchen Table today: good food, new friends, and great conversations about what matters most to people in Owen Sound. https://t.co/PAaiWdeH6G",[],1169368950683119618,1169368950683119618,en,"[{'display_url': 'pic.twitter.com/PAaiWdeH6G', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169368950683119618/photo/1', 'id': 1169368945163472897, 'media_url': 'http://pbs.twimg.com/media/EDpu3CvXkAE7jAQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDpu3CvXkAE7jAQ.jpg', 'sizes': {'large': {'w': 2048, 'h': 1364, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/PAaiWdeH6G'}, {'display_url': 'pic.twitter.com/PAaiWdeH6G', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169368950683119618/photo/1', 'id': 1169368945440243713, 'media_url': 'http://pbs.twimg.com/media/EDpu3DxWwAEzIKU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDpu3DxWwAEzIKU.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1364, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/PAaiWdeH6G'}]",,,,111.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
30,Wed Sep 04 20:17:22 +0000 2019,1551,"It’s more important than ever for Canadians to have fast &amp; reliable internet access – for the business owners I sat down with today in Owen Sound, it means more opportunities to grow &amp; create jobs. That’s why we’re investing in rural broadband for them &amp; people across Canada. https://t.co/aUJwHmufTJ",[],1169343717175676928,1169343717175676928,en,"[{'display_url': 'pic.twitter.com/aUJwHmufTJ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169343717175676928/photo/1', 'id': 1169343707310698497, 'media_url': 'http://pbs.twimg.com/media/EDpX6AaXsAEH67q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDpX6AaXsAEH67q.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/aUJwHmufTJ'}]",,,,230.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
32,Wed Sep 04 18:29:54 +0000 2019,568,"Today, we announce Dominic Barton as Canada’s Ambassador to China. Dominic’s experience in Asia &amp; expertise in global economics will make him a great representative of Canada &amp; Canadian interests in China. More: https://t.co/WxJFO4vzd2",[],1169316673314328579,1169316673314328579,en,,,,,116.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/news-releases/2019/09/04/prime-minister-announces-appointment-dominic-barton-ambassador-china', 'url': 'https://t.co/WxJFO4vzd2'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
34,Wed Sep 04 16:47:05 +0000 2019,7199,"I just spoke with Prime Minister Minnis about the devastation in the Bahamas caused by Hurricane Dorian. Canada stands ready to help the Bahamian people and communities affected by this disaster and has pledged $500,000 in initial emergency assistance.",[],1169290800158650373,1169290800158650373,en,,,,,1228.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
36,Tue Sep 03 21:18:36 +0000 2019,608,Sad to hear of Pierre Nadeau’s passing. He was a great journalist who always asked the tough questions and helped us better understand our world – and whose passion and integrity will continue to inspire. https://t.co/CwugAIyEDS,[],1168996741187870724,1168996741187870724,en,,,,,109.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://ici.radio-canada.ca/nouvelle/1085863/mort-deces-pierre-nadeau-journaliste-reporter-medias-television', 'url': 'https://t.co/CwugAIyEDS'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
38,Tue Sep 03 18:58:16 +0000 2019,5821,".@SpeakerPelosi and I spoke today about moving forward with the new NAFTA in order to support good, middle class jobs and create opportunities for people on both sides of the border. Thanks for the call, Nancy. Looking forward to our continued work on this.",[],1168961422484758533,1168961422484758533,en,,,,,1195.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 15764644, 'id_str': '15764644', 'name': 'Nancy Pelosi', 'screen_name': 'SpeakerPelosi'}]",@JustinTrudeau
