created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,retweet_count,source,urls,user,user_mentions,quoted_status,quoted_status_id,quoted_status_id_str,date_time,date,date_week,handle,clean_tweet,break_tweet,polarity,subjectivity,about_trudeau,about_scheer,about_may,about_singh,about_bernier
Sun Oct 20 23:04:30 +0000 2019,1236,"The choice is clear. For a real plan to make life more affordable for Canadians, #ChooseForward. Vote Liberal. https://t.co/ABfkLslniq",[{'text': 'ChooseForward'}],1186055621684187136,1186055621684187136,en,"[{'display_url': 'pic.twitter.com/ABfkLslniq', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186055621684187136/photo/1', 'id': 1186055616516841472, 'media_url': 'http://pbs.twimg.com/media/EHW3TJpX4AAtH6u.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHW3TJpX4AAtH6u.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 473, 'h': 680, 'resize': 'fit'}, 'large': {'w': 800, 'h': 1151, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 1151, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/ABfkLslniq'}]",444,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 23:04:30+00:00,2019-10-20,2019-10-14,JustinTrudeau,choice clear real plan make life affordable canadians chooseforward vote liberal,"The choice is clear. For a real plan to make life more affor<br>dable for Canadians, #ChooseForward. Vote Liberal. https://t<br>.co/ABfkLslni<br>",0.15000000000000002,0.3416666666666667,False,False,False,False,False
Sun Oct 20 22:28:00 +0000 2019,1270,For a serious plan to fight climate change. #ChooseForward,[{'text': 'ChooseForward'}],1186046434405167109,1186046434405167109,en,,262,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 22:28:00+00:00,2019-10-20,2019-10-14,JustinTrudeau,serious plan fight climate change chooseforward,For a serious plan to fight climate change. #ChooseForward<br>,-0.3333333333333333,0.6666666666666666,False,False,False,False,False
Sun Oct 20 21:57:46 +0000 2019,2145,This new video says it all. Let’s keep going. #ChooseForward https://t.co/LLo8n3asQC,[{'text': 'ChooseForward'}],1186038828638838785,1186038828638838785,en,"[{'display_url': 'pic.twitter.com/LLo8n3asQC', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186038828638838785/video/1', 'id': 1186013742091374592, 'media_url': 'http://pbs.twimg.com/media/EHWRqBoXYAA__lj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHWRqBoXYAA__lj.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/LLo8n3asQC', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 64398, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186013742091374592/vid/640x360/D_4Ge7ryRMofcT3B.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1186013742091374592/pl/TIa0iprXIx7NfwnF.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186013742091374592/vid/1280x720/hoe57BXZYnOCVcc7.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186013742091374592/vid/480x270/Gdul1wKPLbPOsAjQ.mp4?tag=13'}]}}]",768,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:57:46+00:00,2019-10-20,2019-10-14,JustinTrudeau,new video says lets keep going chooseforward,This new video says it all. Let’s keep going. #ChooseForward<br> https://t.co/LLo8n3asQ<br>,0.13636363636363635,0.45454545454545453,False,False,False,False,False
Sun Oct 20 21:51:07 +0000 2019,1105,"For real, progressive policies that help Canadians. #ChooseForward",[{'text': 'ChooseForward'}],1186037151613497345,1186037151613497345,en,,319,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:51:07+00:00,2019-10-20,2019-10-14,JustinTrudeau,real progressive policies help canadians chooseforward,"For real, progressive policies that help Canadians. #ChooseF<br>orwar<br>",0.2,0.30000000000000004,False,False,False,False,False
Sun Oct 20 21:32:04 +0000 2019,6371,Conservatives have nothing to offer Canadians except $53 billion in cuts. Liberals will keep investing in YOU. The choice tomorrow is clear. Vote Liberal. #ChooseForward https://t.co/4Op8b4VFBZ,[{'text': 'ChooseForward'}],1186032358824304641,1186032358824304641,en,"[{'display_url': 'pic.twitter.com/4Op8b4VFBZ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186032358824304641/video/1', 'id': 1185687298056347652, 'media_url': 'http://pbs.twimg.com/media/EHRqSUtX0AEevzE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHRqSUtX0AEevzE.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/4Op8b4VFBZ', 'video_info': {'aspect_ratio': [1, 1], 'duration_millis': 62333, 'variants': [{'bitrate': 432000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1185687298056347652/vid/320x320/H62bbr3i9hWRXuqj.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1185687298056347652/vid/480x480/2o7B1P0MDr1ykioA.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1185687298056347652/pl/uxXkOdH9T6O8zGdH.m3u8?tag=13'}, {'bitrate': 1280000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1185687298056347652/vid/720x720/bJY5webR2D0UZcDb.mp4?tag=13'}]}}]",1934,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:32:04+00:00,2019-10-20,2019-10-14,JustinTrudeau,conservatives nothing offer canadians except 53 billion cuts liberals keep investing choice tomorrow clear vote liberal chooseforward,Conservatives have nothing to offer Canadians except $53 bil<br>lion in cuts. Liberals will keep investing in YOU. The choic<br>e tomorrow is clear. Vote Liberal. #ChooseForward https://t.<br>co/4Op8b4VFB<br>,0.10000000000000002,0.3833333333333333,False,False,False,False,False
Sun Oct 20 21:25:42 +0000 2019,775,For more money for students. #ChooseForward,[{'text': 'ChooseForward'}],1186030758185652224,1186030758185652224,en,,218,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:25:42+00:00,2019-10-20,2019-10-14,JustinTrudeau,money students chooseforward,For more money for students. #ChooseForward<br>,0.0,0.0,False,False,False,False,False
Sun Oct 20 21:17:21 +0000 2019,973,"Gun violence in Canada is rising, and we’re doing something about it. We’ll strengthen gun control by banning military-style assault rifles that have no place in our communities. Vote Liberal. #ChooseForward https://t.co/0r9GUnBGoX",[{'text': 'ChooseForward'}],1186028657476853760,1186028657476853760,en,"[{'display_url': 'pic.twitter.com/0r9GUnBGoX', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186028657476853760/photo/1', 'id': 1186028652447850496, 'media_url': 'http://pbs.twimg.com/media/EHWexoqW4AAm1RX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHWexoqW4AAm1RX.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/0r9GUnBGoX'}]",272,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:17:21+00:00,2019-10-20,2019-10-14,JustinTrudeau,gun violence canada rising something well strengthen gun control banning militarystyle assault rifles place communities vote liberal chooseforward,"Gun violence in Canada is rising, and we’re doing something <br>about it. We’ll strengthen gun control by banning military-s<br>tyle assault rifles that have no place in our communities. V<br>ote Liberal. #ChooseForward https://t.co/0r9GUnBGo<br>",0.0,0.0,False,False,False,False,False
Sun Oct 20 21:13:46 +0000 2019,1553,For stronger gun control. #ChooseForward,[{'text': 'ChooseForward'}],1186027751968559104,1186027751968559104,en,,342,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:13:46+00:00,2019-10-20,2019-10-14,JustinTrudeau,stronger gun control chooseforward,For stronger gun control. #ChooseForward<br>,0.0,0.0,False,False,False,False,False
Sun Oct 20 21:08:47 +0000 2019,1840,For a cleaner planet. #ChooseForward,[{'text': 'ChooseForward'}],1186026501482909698,1186026501482909698,en,,433,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:08:47+00:00,2019-10-20,2019-10-14,JustinTrudeau,cleaner planet chooseforward,For a cleaner planet. #ChooseForward<br>,0.0,0.0,False,False,False,False,False
Sun Oct 20 21:06:11 +0000 2019,982,For a better future for our kids. #ChooseForward,[{'text': 'ChooseForward'}],1186025846466863104,1186025846466863104,en,,282,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 21:06:11+00:00,2019-10-20,2019-10-14,JustinTrudeau,better future kids chooseforward,For a better future for our kids. #ChooseForward<br>,0.25,0.3125,False,False,False,False,False
