created_at,favorite_count,full_text,hashtags,id,id_str,lang,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,media,date_time,date,date_week,handle
Tue Mar 24 18:17:50 +0000 2020,587,Prime Minister @AbeShinzo and I spoke yesterday about COVID-19 and the need for coordination among G7 and G20 countries. Our conversation also focused on the impacts of the virus and the work we’re doing to protect the people of Canada and Japan. More: https://t.co/9esWCHPtHN,[],1242515984956698633,1242515984956698633,en,,,,130.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/readouts/2020/03/24/prime-minister-justin-trudeau-speaks-prime-minister-japan-shinzo-abe', 'url': 'https://t.co/9esWCHPtHN'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 468122115, 'id_str': '468122115', 'name': '安倍晋三', 'screen_name': 'AbeShinzo'}]",,2020-03-24 18:17:50+00:00,2020-03-24,2020-03-23,JustinTrudeau
Tue Mar 24 17:44:33 +0000 2020,934,"We’re doing everything we can together to protect the health and safety of Canadians right across the country. Yesterday, @cafreeland and I spoke with premiers again about our cooperation to support everyone affected by COVID-19 and its impacts. More here: https://t.co/PqlJP2Qmq7",[],1242507610152226818,1242507610152226818,en,,,,210.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/readouts/2020/03/24/prime-minister-justin-trudeau-speaks-first-ministers-efforts-address', 'url': 'https://t.co/PqlJP2Qmq7'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 203132018, 'id_str': '203132018', 'name': 'Chrystia Freeland', 'screen_name': 'cafreeland'}]",,2020-03-24 17:44:33+00:00,2020-03-24,2020-03-23,JustinTrudeau
Tue Mar 24 17:09:13 +0000 2020,31264,"Let me be very clear: If you’ve just returned from abroad, you must stay home and self-isolate for 14 days. This is not a suggestion. #StayAtHomeSaveLives",[{'text': 'StayAtHomeSaveLives'}],1242498715769868288,1242498715769868288,en,,,,8283.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,2020-03-24 17:09:13+00:00,2020-03-24,2020-03-23,JustinTrudeau
Tue Mar 24 15:39:12 +0000 2020,555,LIVE NOW: I’m giving an update from Rideau Cottage on the COVID-19 outbreak and what we’ll be focused on when the House returns at noon. Watch here: https://t.co/Inl1HrY398,[],1242476065169309696,1242476065169309696,en,,,,151.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://www.cpac.ca/en/direct/cpac2/429709/pm-trudeau-provides-update-on-federal-response-to-covid-19-7/', 'url': 'https://t.co/Inl1HrY398'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2020-03-24 15:39:12+00:00,2020-03-24,2020-03-23,JustinTrudeau
Tue Mar 24 14:02:34 +0000 2020,3241,The legislation will be tabled without clause 2.,[],1242451745160167424,1242451745160167424,en,,,,324.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,2020-03-24 14:02:34+00:00,2020-03-24,2020-03-23,JustinTrudeau
Tue Mar 24 01:41:53 +0000 2020,800,"Spoke on the phone with Prime Minister @AbiyAhmedAli today. We talked about the impacts COVID-19 is having in Canada and Ethiopia, the work we’re both doing to keep people safe, and the need for international coordination. Get more details on our call: https://t.co/SRFSAhzotD",[],1242265348717543424,1242265348717543424,en,,,,115.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/readouts/2020/03/23/prime-minister-justin-trudeau-speaks-prime-minister-ethiopia-abiy-ahmed', 'url': 'https://t.co/SRFSAhzotD'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 1168167671151628290, 'id_str': '1168167671151628290', 'name': 'Abiy Ahmed Ali 🇪🇹', 'screen_name': 'AbiyAhmedAli'}]",,2020-03-24 01:41:53+00:00,2020-03-24,2020-03-23,JustinTrudeau
Mon Mar 23 23:39:37 +0000 2020,60067,"You need to stay home. And so do your friends and family members. Help spread the word with your own video - and tag your friends to remind them to stay home too. And together, we can #PlankTheCurve. @MichaelBuble and @VancityReynolds - can you help? #StayAtHomeSaveLives https://t.co/f1PQQrzMIK","[{'text': 'PlankTheCurve'}, {'text': 'StayAtHomeSaveLives'}]",1242234576455585793,1242234576455585793,en,,,,22833.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 27911944, 'id_str': '27911944', 'name': 'Michael Bublé', 'screen_name': 'MichaelBuble'}, {'id': 2893511188, 'id_str': '2893511188', 'name': 'Ryan Reynolds', 'screen_name': 'VancityReynolds'}]","[{'display_url': 'pic.twitter.com/f1PQQrzMIK', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1242234576455585793/video/1', 'id': 1242232914064048129, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1242232914064048129/img/Bjmfh991LeB9wy4D.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1242232914064048129/img/Bjmfh991LeB9wy4D.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/f1PQQrzMIK', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 60917, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1242232914064048129/pl/NvV9BR2ij8frcNEk.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1242232914064048129/vid/480x270/--9vPIWP7JWWk42k.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1242232914064048129/vid/640x360/sHrR42Bc-bYrsji_.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1242232914064048129/vid/1280x720/qhirKX4CjhzBN7rn.mp4?tag=13'}]}}]",2020-03-23 23:39:37+00:00,2020-03-23,2020-03-23,JustinTrudeau
Mon Mar 23 19:58:54 +0000 2020,66584,"To the people who seem to think they’re invincible: You’re not. So go home and stay home. You’re not just putting yourself at risk, you’re putting others at risk too - nurses and doctors, grocery store workers, your grandparents, and so many others. #StayAtHomeSaveLives",[{'text': 'StayAtHomeSaveLives'}],1242179031438635010,1242179031438635010,en,,,,24299.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,2020-03-23 19:58:54+00:00,2020-03-23,2020-03-23,JustinTrudeau
Mon Mar 23 15:55:20 +0000 2020,5598,"Day in and day out, farmers and food producers across the country continue to work hard so that we have good food in our stores and on our tables. So to them, we say thank you. We know you’re dealing with the impacts of COVID-19 just like the rest of us, and we’ve got your back.",[],1242117737826172928,1242117737826172928,en,,,,812.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,2020-03-23 15:55:20+00:00,2020-03-23,2020-03-23,JustinTrudeau
Mon Mar 23 15:43:56 +0000 2020,7668,"We have some of the world’s brightest researchers right here at home, and many of them are stepping up to join the fight against COVID-19. To help them take on this challenge, we’re announcing direct financial support for vaccine development and production in Canada.",[],1242114865969401863,1242114865969401863,en,,,,1241.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,2020-03-23 15:43:56+00:00,2020-03-23,2020-03-23,JustinTrudeau
